TYPE,FRAME, RADIOG
Complex, 75, 24.921730332643335
Protein, 76, 24.858805602203482
Complex, 76, 24.818234440812702
Protein, 77, 25.509826058995966
Complex, 77, 25.464426187302625
Protein, 78, 25.381768133163188
Complex, 78, 25.340230981250286
Protein, 79, 25.41293859214329
Complex, 79, 25.36223452666491
Protein, 80, 25.62499039320911
Complex, 80, 25.57777974994973
Protein, 81, 25.66569674937277
Complex, 81, 25.620496404227165
Protein, 82, 25.492918512586538
Complex, 82, 25.4565159576498
Protein, 83, 25.296560168430798
Complex, 83, 25.25569262066388
Protein, 84, 24.74281039639962
Complex, 84, 24.697381622835593
Protein, 85, 24.605330291124364
Complex, 85, 24.562916280113328
Protein, 86, 24.68044647601939
Complex, 86, 24.642131817607115
Protein, 87, 24.006952167941257
Complex, 87, 23.965506734623833
Protein, 88, 24.118479117179177
Complex, 88, 24.079466592663305
Protein, 89, 23.984194767343315
Complex, 89, 23.94270230795029
Protein, 90, 23.80607681758046
Complex, 90, 23.766981655786218
Protein, 91, 24.162952268811214
Complex, 91, 24.122276800132088
Protein, 92, 24.357033398456707
Complex, 92, 24.31329630733141
Protein, 93, 24.394539470219662
Complex, 93, 24.347774238748734
Protein, 94, 24.36302094700442
Complex, 94, 24.312604652825662
Protein, 95, 23.989392261190464
Complex, 95, 23.9437390234311
Protein, 96, 23.97117214572593
Complex, 96, 23.925559575890997
Protein, 97, 24.56151853478678
Complex, 97, 24.521692409503228
Protein, 98, 24.652088755477607
Complex, 98, 24.606236654628812
Protein, 99, 24.544498106605563
Complex, 99, 24.50022195737404
Protein, 100, 24.403990400234964
Complex, 100, 24.36211419147663
Protein, 101, 24.38414699421091
Complex, 101, 24.348170076273274
Protein, 102, 24.48768485930931
Complex, 102, 24.445709588013894
Protein, 103, 24.777267753167738
Complex, 103, 24.737027781172657
Protein, 104, 25.157506881026013
Complex, 104, 25.120157514174355
Protein, 105, 25.082728852202383
Complex, 105, 25.04617356059787
Protein, 106, 24.234037064948904
Complex, 106, 24.199278665424977
Protein, 107, 23.921240168814062
Complex, 107, 23.884491447982484
Protein, 108, 23.79282296404444
Complex, 108, 23.75800890666861
Protein, 109, 23.929123164814463
Complex, 109, 23.889256268326516
Protein, 110, 23.782744243779266
Complex, 110, 23.747461341996207
Protein, 111, 23.615625410079396
Complex, 111, 23.577769338372207
Protein, 112, 23.37732806113996
Complex, 112, 23.344572101212332
Protein, 113, 23.495425692022895
Complex, 113, 23.45813749853963
Protein, 114, 23.23912630806386
Complex, 114, 23.2009312015237
Protein, 115, 23.347596208897016
Complex, 115, 23.306291500026852
Protein, 116, 23.548874430975882
Complex, 116, 23.508894003005906
Protein, 117, 23.500246086055697
Complex, 117, 23.458514612024207
Protein, 118, 23.59381008540825
Complex, 118, 23.553064446677308
Protein, 119, 23.646078910273456
Complex, 119, 23.60462105857936
Protein, 120, 23.60301437747041
Complex, 120, 23.5649561899432
Protein, 121, 23.717533915674643
Complex, 121, 23.680091014871188
Protein, 122, 23.925630812363725
Complex, 122, 23.88718290835588
Protein, 123, 24.002392955036786
Complex, 123, 23.96369738277379
Protein, 124, 24.295238033007237
Complex, 124, 24.256874855076514
Protein, 125, 24.137102527585586
Complex, 125, 24.096942430310147
Protein, 126, 24.084634383028067
Complex, 126, 24.04532966100782
Protein, 127, 23.967791308205378
Complex, 127, 23.926708688421627
Protein, 128, 23.881309902736668
Complex, 128, 23.842984223074218
Protein, 129, 23.899788771025
Complex, 129, 23.859813002616917
Protein, 130, 23.971176570455928
Complex, 130, 23.9295737529074
Protein, 131, 24.159892933049903
Complex, 131, 24.120468310083908
Protein, 132, 24.359272342913428
Complex, 132, 24.309408977485838
Protein, 133, 23.982889078820822
Complex, 133, 23.94661002422099
Protein, 134, 23.910477209413894
Complex, 134, 23.86245015959679
Protein, 135, 23.56763544921411
Complex, 135, 23.51973742336204
Protein, 136, 23.483947470531522
Complex, 136, 23.436513642117355
Protein, 137, 23.6555917862941
Complex, 137, 23.606794371515964
Protein, 138, 23.562365172050036
Complex, 138, 23.513368779465832
Protein, 139, 23.44072534200833
Complex, 139, 23.38976450474631
Protein, 140, 23.474147230657856
Complex, 140, 23.428226755265896
Protein, 141, 23.558973243730385
Complex, 141, 23.51675962301755
Protein, 142, 23.539946797158073
Complex, 142, 23.499904853084292
Protein, 143, 23.278178940178535
Complex, 143, 23.243576119214463
Protein, 144, 23.557203419818936
Complex, 144, 23.517762755748723
Protein, 145, 23.53667688558149
Complex, 145, 23.498786108140866
Protein, 146, 23.398065434856058
Complex, 146, 23.35843317768077
Protein, 147, 23.543520991046137
Complex, 147, 23.50108230211883
Protein, 148, 23.646403002246007
Complex, 148, 23.604368992688908
Protein, 149, 23.670364543484236
Complex, 149, 23.629176082351904
Protein, 150, 23.302418757738845
Complex, 150, 23.256664440398172
Protein, 151, 23.218854775601805
Complex, 151, 23.175556410680613
Protein, 152, 23.10357136933642
Complex, 152, 23.06217606794307
Protein, 153, 23.295252807580685
Complex, 153, 23.25132162598844
Protein, 154, 23.0421058771788
Complex, 154, 22.99944421236181
Protein, 155, 23.428341137603848
Complex, 155, 23.38730521827163
Protein, 156, 23.31269800899488
Complex, 156, 23.270547982962974
Protein, 157, 23.65000014419286
Complex, 157, 23.606600634058196
Protein, 158, 23.984524050435155
Complex, 158, 23.942102615031907
Protein, 159, 24.172922414388207
Complex, 159, 24.13051415319343
Protein, 160, 24.073112768248276
Complex, 160, 24.0244005050106
Protein, 161, 23.803192175860957
Complex, 161, 23.760341062788722
Protein, 162, 23.871556383865126
Complex, 162, 23.82888316530011
Protein, 163, 24.264051223288856
Complex, 163, 24.218161865537436
Protein, 164, 24.60798634862992
Complex, 164, 24.558304478972328
Protein, 165, 24.21480850628992
Complex, 165, 24.171647303302063
Protein, 166, 24.38940534586623
Complex, 166, 24.345688577506913
Protein, 167, 24.529443957641007
Complex, 167, 24.48681981119926
Protein, 168, 24.200280885008002
Complex, 168, 24.160874118155647
Protein, 169, 23.98613168339664
Complex, 169, 23.94490858964968
Protein, 170, 24.414403296550436
Complex, 170, 24.373090528700658
Protein, 171, 24.08122459207647
Complex, 171, 24.041672620233008
Protein, 172, 24.22828903232163
Complex, 172, 24.191828591324775
Protein, 173, 24.515286316624884
Complex, 173, 24.472474742592176
Protein, 174, 24.317802511290154
Complex, 174, 24.28163420076215
Protein, 175, 24.620929767231985
Complex, 175, 24.585592487212043
Protein, 176, 24.675261735811354
Complex, 176, 24.639276841466298
Protein, 177, 24.477150980041266
Complex, 177, 24.439076579166617
Protein, 178, 24.358295006742125
Complex, 178, 24.318365786970553
Protein, 179, 24.91518019985476
Complex, 179, 24.874785870678135
Protein, 180, 24.849112293658447
Complex, 180, 24.808507355037825
Protein, 181, 24.431838124933055
Complex, 181, 24.391975621819203
Protein, 182, 24.12055683094444
Complex, 182, 24.084626762039534
Protein, 183, 24.00768602111555
Complex, 183, 23.96978506254753
Protein, 184, 24.07620655730759
Complex, 184, 24.03715367386394
Protein, 185, 24.426099604631744
Complex, 185, 24.388603671864907
Protein, 186, 24.357424744020584
Complex, 186, 24.318339781140658
Protein, 187, 23.82183577648518
Complex, 187, 23.781335152329518
Protein, 188, 24.12189343025764
Complex, 188, 24.07800262225666
Protein, 189, 24.3623778938345
Complex, 189, 24.31651731277113
Protein, 190, 24.32495699810575
Complex, 190, 24.28733073283054
Protein, 191, 24.578570134769464
Complex, 191, 24.536235170667627
Protein, 192, 24.268199564881353
Complex, 192, 24.22996506508567
Protein, 193, 24.593830979910482
Complex, 193, 24.556845289322506
Protein, 194, 24.573689482113984
Complex, 194, 24.538503018475204
Protein, 195, 24.668342176051066
Complex, 195, 24.626318396252085
Protein, 196, 24.71133752056297
Complex, 196, 24.671439457130493
Protein, 197, 25.47998981533032
Complex, 197, 25.43943457574351
Protein, 198, 25.369795349187484
Complex, 198, 25.32784525701917
Protein, 199, 25.406184272438438
Complex, 199, 25.36549025265307
Protein, 200, 25.32206955577365
Complex, 200, 25.280526471561227
Protein, 201, 25.18721707582326
Complex, 201, 25.146701203901717
Protein, 202, 25.379732116334157
Complex, 202, 25.344650434885796
Protein, 203, 25.868344589337926
Complex, 203, 25.832820090040784
Protein, 204, 25.571485817429842
Complex, 204, 25.53245854851247
Protein, 205, 25.672923565780344
Complex, 205, 25.629621921882666
Protein, 206, 25.29076568347998
Complex, 206, 25.24713223507645
Protein, 207, 25.081200569465334
Complex, 207, 25.04126291172642
Protein, 208, 25.688485775112653
Complex, 208, 25.64547134673979
Protein, 209, 25.264980280296232
Complex, 209, 25.22465634323648
Protein, 210, 25.158090065547952
Complex, 210, 25.122421237399507
Protein, 211, 25.151734918919765
Complex, 211, 25.117481242738265
Protein, 212, 25.624141826152346
Complex, 212, 25.592078026963478
Protein, 213, 25.358764666812018
Complex, 213, 25.328708888871844
Protein, 214, 25.19712666833588
Complex, 214, 25.1747667583561
Protein, 215, 25.302077402571186
Complex, 215, 25.277735536838975
Protein, 216, 25.80374128615906
Complex, 216, 25.776120774760123
Protein, 217, 25.64777442236151
Complex, 217, 25.62283593831891
Protein, 218, 25.608535888165243
Complex, 218, 25.58718779097916
Protein, 219, 26.4282760045388
Complex, 219, 26.40056129563674
Protein, 220, 26.059270129978252
Complex, 220, 26.032175943352946
Protein, 221, 25.742075829287955
Complex, 221, 25.719082903414893
Protein, 222, 25.950658084689596
Complex, 222, 25.926356826821014
Protein, 223, 25.777107175234285
Complex, 223, 25.742200539247634
Protein, 224, 25.948943162255276
Complex, 224, 25.91473416425636
Protein, 225, 25.87295452743588
Complex, 225, 25.837047010673526
Protein, 226, 25.75370230316291
Complex, 226, 25.718472694095656
Protein, 227, 25.636306438034158
Complex, 227, 25.608546810811
Protein, 228, 25.434675358193495
Complex, 228, 25.410403197986017
Protein, 229, 25.234505346169897
Complex, 229, 25.204637795493863
Protein, 230, 25.282882627908542
Complex, 230, 25.25536707094106
Protein, 231, 25.578549842014382
Complex, 231, 25.549169834249593
Protein, 232, 25.305206335627734
Complex, 232, 25.276853875013344
Protein, 233, 25.633304566771418
Complex, 233, 25.604619816449222
Protein, 234, 25.87540798681494
Complex, 234, 25.84879443549235
Protein, 235, 25.78980556231888
Complex, 235, 25.761308233497637
Protein, 236, 25.196463002432793
Complex, 236, 25.169221625853655
Protein, 237, 25.482186162881
Complex, 237, 25.44840739108919
Protein, 238, 25.528340987539366
Complex, 238, 25.500768507846043
Protein, 239, 25.15969828209583
Complex, 239, 25.123469505107774
Protein, 240, 24.909516504532267
Complex, 240, 24.87204490911218
Protein, 241, 25.299405859600885
Complex, 241, 25.25995014105007
Protein, 242, 24.957980400486495
Complex, 242, 24.92079835982557
Protein, 243, 25.302142614370624
Complex, 243, 25.270007961372997
Protein, 244, 24.754994144082872
Complex, 244, 24.724251961559712
Protein, 245, 24.63938749178917
Complex, 245, 24.609681781549796
Protein, 246, 25.14244605319037
Complex, 246, 25.111349183553347
Protein, 247, 25.00620464542197
Complex, 247, 24.97744190543781
Protein, 248, 25.20099043499142
Complex, 248, 25.167771709562857
Protein, 249, 25.013926697546083
Complex, 249, 24.98105836120117
Protein, 250, 25.38833168564795
Complex, 250, 25.347298642547138
Protein, 251, 25.863153517712227
Complex, 251, 25.813799682326454
Protein, 252, 25.722967757803204
Complex, 252, 25.67889853157192
Protein, 253, 25.440514089153446
Complex, 253, 25.396523727746484
Protein, 254, 25.754878183747017
Complex, 254, 25.70323839068905
Protein, 255, 26.19816812279533
Complex, 255, 26.148638502054524
Protein, 256, 26.092141621365233
Complex, 256, 26.046792410655986
Protein, 257, 25.88804975655603
Complex, 257, 25.842628907418394
Protein, 258, 25.93807702351052
Complex, 258, 25.89980361488882
Protein, 259, 25.84398677848385
Complex, 259, 25.800919154218338
Protein, 260, 26.161224306422213
Complex, 260, 26.119023383038858
Protein, 261, 26.296063864759535
Complex, 261, 26.245787336432198
Protein, 262, 26.583342088005214
Complex, 262, 26.531908836791853
Protein, 263, 26.59550059498353
Complex, 263, 26.54621202029357
Protein, 264, 26.295919374613426
Complex, 264, 26.251574300121405
Protein, 265, 26.41070919596652
Complex, 265, 26.359155650552342
Protein, 266, 26.095221418064934
Complex, 266, 26.048534318349493
Protein, 267, 26.43521222615691
Complex, 267, 26.388968478322287
Protein, 268, 27.14151965225224
Complex, 268, 27.091136622478707
Protein, 269, 27.685308497282318
Complex, 269, 27.63022873167386
Protein, 270, 27.561735368397
Complex, 270, 27.508197858937177
Protein, 271, 27.340618708786636
Complex, 271, 27.287588707232995
Protein, 272, 27.513937021799983
Complex, 272, 27.457571212273358
Protein, 273, 27.66358929659459
Complex, 273, 27.610847653890076
Protein, 274, 27.716440060634326
Complex, 274, 27.658302350801442
Protein, 275, 28.118288454795735
Complex, 275, 28.058547030629967
Protein, 276, 27.832287869185187
Complex, 276, 27.777381739683083
Protein, 277, 27.905894837806507
Complex, 277, 27.84809516068418
Protein, 278, 27.40810488770519
Complex, 278, 27.34958080656556
Protein, 279, 27.708578211810824
Complex, 279, 27.650151785911028
Protein, 280, 27.54955840896398
Complex, 280, 27.49054951984072
Protein, 281, 27.493196164742866
Complex, 281, 27.436075413692574
Protein, 282, 27.51178598788281
Complex, 282, 27.453824737338127
Protein, 283, 28.289508728939833
Complex, 283, 28.231645895930736
Protein, 284, 27.92287861956385
Complex, 284, 27.87130197783417
Protein, 285, 27.324613635138764
Complex, 285, 27.272549185476713
Protein, 286, 27.33765556875131
Complex, 286, 27.292054828722762
Protein, 287, 27.556057244776643
Complex, 287, 27.509075171271082
Protein, 288, 28.002060216432163
Complex, 288, 27.945075092984506
Protein, 289, 27.970613437548504
Complex, 289, 29.634139185613797
Protein, 290, 27.664316830500482
Complex, 290, 27.6107160574772
Protein, 291, 27.255369673193858
Complex, 291, 27.2103134985664
Protein, 292, 27.085488477543425
Complex, 292, 27.038297536051488
Protein, 293, 26.485944556117193
Complex, 293, 26.441907553680533
Protein, 294, 26.515798414396635
Complex, 294, 26.468437297919888
Protein, 295, 26.312684772988977
Complex, 295, 26.273327546232224
Protein, 296, 26.693228643916918
Complex, 296, 26.646185257948954
Protein, 297, 26.355220117867315
Complex, 297, 26.310443292070914
Protein, 298, 26.686777827416808
Complex, 298, 26.641439441569943
Protein, 299, 26.544211210836345
Complex, 299, 26.49215071016936
Protein, 300, 26.684647703548592
Complex, 300, 26.635621388089046
Protein, 301, 26.23625229049581
Complex, 301, 26.189968099956765
Protein, 302, 26.358084529345348
Complex, 302, 26.310697591776385
Protein, 303, 26.5389277348275
Complex, 303, 26.486360759804516
Protein, 304, 26.575088112897326
Complex, 304, 26.52463464140533
Protein, 305, 27.05122663590694
Complex, 305, 26.995561101608764
Protein, 306, 26.812814091947242
Complex, 306, 26.754600140613057
Protein, 307, 26.757337567451284
Complex, 307, 26.69830457641234
Protein, 308, 26.80944847038606
Complex, 308, 26.75383800254638
Protein, 309, 27.04787436197843
Complex, 309, 26.992587341657586
Protein, 310, 27.214066881877105
Complex, 310, 27.156204435844533
Protein, 311, 26.888988687334408
Complex, 311, 26.83480792664528
Protein, 312, 26.626734177143952
Complex, 312, 26.571048879310972
Protein, 313, 26.530923010061166
Complex, 313, 26.480512821193848
Protein, 314, 26.63026165106808
Complex, 314, 26.575457571840886
Protein, 315, 26.67297794962854
Complex, 315, 26.623937435315526
Protein, 316, 26.951817196606264
Complex, 316, 26.903696351187445
Protein, 317, 26.668337708517715
Complex, 317, 26.614430045310883
Protein, 318, 27.432694197266247
Complex, 318, 29.13332033134476
Protein, 319, 27.38219138162639
Complex, 319, 29.119703311011527
Protein, 320, 27.06478788073107
Complex, 320, 27.012339138124503
Protein, 321, 26.815064004992102
Complex, 321, 26.762619317808248
Protein, 322, 26.595386056515622
Complex, 322, 26.543467246665006
Protein, 323, 26.71041365442741
Complex, 323, 26.6592358786287
Protein, 324, 26.44586967753575
Complex, 324, 26.40093456018265
Protein, 325, 26.502417545389548
Complex, 325, 26.462905544387127
Protein, 326, 26.089165546033673
Complex, 326, 26.043065696539788
Protein, 327, 26.281908132674737
Complex, 327, 26.23314298929075
Protein, 328, 26.308200332342803
Complex, 328, 26.261198772966736
Protein, 329, 26.301976594370828
Complex, 329, 26.254302358016247
Protein, 330, 26.22007477777229
Complex, 330, 26.174895697872525
Protein, 331, 25.82137409134672
Complex, 331, 25.771452102388423
Protein, 332, 25.902560033760867
Complex, 332, 25.856332718521845
Protein, 333, 25.92346333420951
Complex, 333, 25.877115990994103
Protein, 334, 26.209051123182817
Complex, 334, 26.163444891394626
Protein, 335, 26.136294809169662
Complex, 335, 26.088107541622755
Protein, 336, 26.088433201215764
Complex, 336, 26.042172814310327
Protein, 337, 26.0234890730297
Complex, 337, 25.974673766067127
Protein, 338, 26.22183944808161
Complex, 338, 26.1733373952242
Protein, 339, 25.929473151725567
Complex, 339, 25.888816086902377
Protein, 340, 25.966659376434144
Complex, 340, 25.91590370363607
Protein, 341, 25.71514919287115
Complex, 341, 25.66585128407475
Protein, 342, 25.608124617204098
Complex, 342, 25.55838580730442
Protein, 343, 25.758796804729688
Complex, 343, 25.71041034530497
Protein, 344, 26.01898101396734
Complex, 344, 25.970093730277483
Protein, 345, 25.689166543633142
Complex, 345, 25.639823802504427
Protein, 346, 25.709980436931854
Complex, 346, 25.655906195910777
Protein, 347, 25.84941665805866
Complex, 347, 25.79844995375539
Protein, 348, 26.421108552723304
Complex, 348, 26.364072670362948
Protein, 349, 26.27253710420279
Complex, 349, 26.218471434696188
Protein, 350, 26.29431939601346
Complex, 350, 26.239372525668625
Protein, 351, 26.235849910565594
Complex, 351, 26.176687811678818
Protein, 352, 25.989369502054526
Complex, 352, 25.93749837322394
Protein, 353, 25.93520644536244
Complex, 353, 25.881173328593885
Protein, 354, 26.103462370512354
Complex, 354, 26.046393068575195
Protein, 355, 26.065985446210107
Complex, 355, 26.00408413218034
Protein, 356, 26.19367199132167
Complex, 356, 26.126624860163183
Protein, 357, 26.938392444004144
Complex, 357, 26.87051332740567
Protein, 358, 26.853563686153525
Complex, 358, 26.787705447063313
Protein, 359, 26.884270659130994
Complex, 359, 26.819716904806597
Protein, 360, 27.182813941153626
Complex, 360, 27.116886141440343
Protein, 361, 26.963306303439744
Complex, 361, 26.900733987815197
Protein, 362, 27.303173065045637
Complex, 362, 27.23826105960466
Protein, 363, 27.035004372023494
Complex, 363, 26.9741990266087
Protein, 364, 27.458595303601037
Complex, 364, 27.389326011892937
Protein, 365, 27.51749361303683
Complex, 365, 27.448308203640014
Protein, 366, 27.08556140638203
Complex, 366, 27.020247797404664
Protein, 367, 27.22099578246817
Complex, 367, 27.159797558981467
Protein, 368, 27.28350271841263
Complex, 368, 27.21872987923009
Protein, 369, 26.783836761513484
Complex, 369, 26.72393353708147
Protein, 370, 26.64572171005223
Complex, 370, 26.576476367837895
Protein, 371, 26.2846438066919
Complex, 371, 26.22099485983769
Protein, 372, 26.085640078522573
Complex, 372, 26.02452772523592
Protein, 373, 26.011593270211293
Complex, 373, 25.955469865461602
Protein, 374, 25.998431018098653
Complex, 374, 25.939780283059996
Protein, 375, 25.74101351045724
Complex, 375, 25.682958570523255
Protein, 376, 26.089471677125285
Complex, 376, 26.03022147699114
Protein, 377, 26.24065488695463
Complex, 377, 26.1727313799843
Protein, 378, 26.28697295561357
Complex, 378, 26.21962802982505
Protein, 379, 25.673188585038105
Complex, 379, 25.607891502980753
Protein, 380, 25.592898235128946
Complex, 380, 25.529604066694333
Protein, 381, 25.657342130859007
Complex, 381, 25.593080278356947
Protein, 382, 25.94696361651567
Complex, 382, 25.884189033642105
Protein, 383, 25.73031157020203
Complex, 383, 25.667264323036328
Protein, 384, 25.60894059813886
Complex, 384, 25.54617254459095
Protein, 385, 25.830407788238634
Complex, 385, 25.767978797654955
Protein, 386, 25.962444597069464
Complex, 386, 25.896058163978246
Protein, 387, 26.05967268150958
Complex, 387, 25.994654238547316
Protein, 388, 26.402674840426076
Complex, 388, 26.336108853198816
Protein, 389, 26.13796498225973
Complex, 389, 26.073117680536498
Protein, 390, 26.19609176298003
Complex, 390, 26.127809288543805
Protein, 391, 26.071541111882766
Complex, 391, 26.010758257585874
Protein, 392, 26.10858416562216
Complex, 392, 26.04499966586864
Protein, 393, 26.179190375126225
Complex, 393, 26.118603039176048
Protein, 394, 26.43093849315536
Complex, 394, 26.36679033129264
Protein, 395, 26.501194165289785
Complex, 395, 26.44366036712507
Protein, 396, 26.47385832722188
Complex, 396, 26.413352737948983
Protein, 397, 26.200110351698616
Complex, 397, 26.139250065783806
Protein, 398, 26.06828686283708
Complex, 398, 26.00841266965429
Protein, 399, 25.962717786358365
Complex, 399, 25.907548678377694
Protein, 400, 26.162690785693982
Complex, 400, 26.101852518197855
Protein, 401, 26.029797782490245
Complex, 401, 25.972394168238406
Protein, 402, 26.007410968071206
Complex, 402, 25.946102493039724
Protein, 403, 26.24932099036819
Complex, 403, 26.18772209086567
Protein, 404, 26.72711679151959
Complex, 404, 26.66282138250714
Protein, 405, 26.80450648182225
Complex, 405, 26.736584331280863
Protein, 406, 26.623107841291553
Complex, 406, 26.562360232384243
Protein, 407, 26.48800078245583
Complex, 407, 26.427525430948112
Protein, 408, 26.783563243330505
Complex, 408, 26.719219118917252
Protein, 409, 27.168816158367115
Complex, 409, 27.100626962146126
Protein, 410, 27.131178744504307
Complex, 410, 27.062906298701723
Protein, 411, 27.360751074835974
Complex, 411, 27.28496158033754
Protein, 412, 27.143364445926423
Complex, 412, 27.074660520752342
Protein, 413, 27.080541756001058
Complex, 413, 27.01344589522116
Protein, 414, 26.696719321038973
Complex, 414, 26.632241793610856
Protein, 415, 26.760336836745537
Complex, 415, 26.693424865184536
Protein, 416, 26.50775778092813
Complex, 416, 26.448204139396125
Protein, 417, 26.064849839417565
Complex, 417, 26.00238478770164
Protein, 418, 25.948516298309627
Complex, 418, 25.885521531312623
Protein, 419, 26.21082965003686
Complex, 419, 26.14739774220506
Protein, 420, 26.418184611971444
Complex, 420, 26.354166628040392
Protein, 421, 26.38817585153061
Complex, 421, 26.32047459420465
Protein, 422, 25.903519397817057
Complex, 422, 25.835914372577253
Protein, 423, 25.678145491409882
Complex, 423, 25.612141502730964
Protein, 424, 25.763342408207503
Complex, 424, 25.699713126077746
Protein, 425, 26.232694710281702
Complex, 425, 26.164555204534825
Protein, 426, 25.772725638529558
Complex, 426, 25.7031445724731
Protein, 427, 25.98055717782959
Complex, 427, 25.911973363197678
Protein, 428, 25.936792238501955
Complex, 428, 25.867525363503216
Protein, 429, 26.416951061078386
Complex, 429, 26.34667929839066
Protein, 430, 25.724248816408455
Complex, 430, 25.657593803535608
Protein, 431, 26.261138041997846
Complex, 431, 26.197174346025456
Protein, 432, 26.288039427946014
Complex, 432, 26.220304380117902
Protein, 433, 25.971855052549735
Complex, 433, 25.90402875950672
Protein, 434, 25.76941046470527
Complex, 434, 25.70131758167279
Protein, 435, 25.775594450324295
Complex, 435, 25.708622560759466
Protein, 436, 25.95847339867278
Complex, 436, 25.89674422877413
Protein, 437, 25.960149302543474
